name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;387;0;341;3077;978;3077;978;0
header;105;132;105;175;1765;175;1765;132
A;666;90;666;93;670;93;670;90
A;946;196;946;223;967;223;967;196
A;830;280;830;280;831;280;831;280
A;609;465;609;465;611;465;611;465
A;827;573;827;581;833;581;833;573
B;942;861;942;889;964;889;964;861
C;940;1539;940;1568;961;1568;961;1539
A;966;1782;966;1783;966;1783;966;1782
A;648;1965;648;1972;654;1972;654;1965
A;677;1965;677;1973;685;1973;685;1965
A;736;1966;736;1974;743;1974;743;1966
A;797;1966;797;1974;804;1974;804;1966
A;708;1967;708;1973;714;1973;714;1967
A;886;1968;886;1975;892;1975;892;1968
D;940;2206;940;2235;965;2235;965;2206
A;350;2516;350;2523;357;2523;357;2516
A;497;2516;497;2524;504;2524;504;2516
A;379;2517;379;2522;384;2522;384;2517
A;409;2517;409;2523;414;2523;414;2517
A;438;2517;438;2523;444;2523;444;2517
A;558;2517;558;2524;565;2524;565;2517
A;705;2517;705;2524;711;2524;711;2517
A;916;2517;916;2525;923;2525;923;2517
A;646;2518;646;2523;652;2523;652;2518
A;676;2518;676;2523;681;2523;681;2518
A;617;2519;617;2524;623;2524;623;2519
A;825;2519;825;2525;831;2525;831;2519
A;855;2519;855;2524;861;2524;861;2519
A;458;2536;458;2536;459;2536;459;2536
A;400;2562;400;2569;406;2569;406;2562
