name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;232;0;347;3067;1021;3067;1021;0
header;167;113;167;151;1807;151;1807;113
A;979;177;979;206;1001;206;1001;177
B;374;273;374;292;394;292;394;273
B;986;851;986;880;1008;880;1008;851
A;381;911;381;928;391;928;391;911
D;532;914;532;930;541;930;541;914
A;804;1145;804;1145;805;1145;805;1145
C;980;1512;980;1544;1005;1544;1005;1512
A;297;1517;297;1529;304;1529;304;1517
A;875;2059;875;2075;885;2075;885;2059
D;982;2176;982;2207;1007;2207;1007;2176
A;770;2786;770;2786;770;2786;770;2786
